GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35
Ярославская область;38 906 985;7 453 104;36 618 713;6 918 392;599 645;77 781;16 611 144;14 281 634;2 858 122;736 873;11 612;575;988 675;845 637;398 232;102 059;350 660;230 804;0;0;638 020;614 833;327 241;92 284;201 802;22 970;7 035;7 996;7 139;1 969;3 274;2 138;2 427;631;11;2
город Москва;845 182 828;65 673 878;794 318 720;58 888 881;4 485 155;898 460;609 574 863;446 511 316;72 135 129;8 130 995;4 504 858;99 353;36 576 008;26 581 540;10 743 708;1 198 989;12 853 089;4 926 285;366 694;322 530;23 356 429;21 332 716;9 622 018;1 127 935;3 198 971;191 511;103 167;125 050;91 129;14 540;35 609;33 488;22 921;5 529;1 326;109
город Санкт-Петербург;375 573 584;39 872 634;330 390 820;30 644 656;1 934 313;362 558;176 232 072;119 088 704;55 208 498;10 391 411;1 065 734;93 604;10 572 938;7 124 397;3 871 962;722 814;3 931 953;1 495 029;0;0;6 640 979;5 629 366;3 161 875;676 241;1 905 560;108 509;39 970;43 446;50 052;10 472;14 037;11 453;13 032;4 153;464;66
Еврейская автономная область;4 606 857;1 512 693;4 374 460;1 351 661;15 289;41 295;1 825 000;1 549 274;361 836;179 995;12;0;102 319;89 928;51 988;24 819;37 859;29 593;0;0;64 463;60 312;39 259;22 967;28 775;5 780;466;811;626;233;209;169;180;53;1;0
Ненецкий АО;882 015;161 345;841 056;148 578;3 071;675;768 456;1 198 648;65 322;19 524;6 241;97;34 074;59 494;8 915;2 670;14 205;16 128;0;0;19 870;43 364;7 145;2 321;5 944;640;287;626;110;41;154;226;37;16;10;1
Ханты-Мансийский АО - Югра;44 748 826;11 043 814;40 435 897;9 278 746;224 666;60 727;30 652 298;28 574 897;4 900 359;2 032 636;357 987;77 050;1 829 169;1 692 128;422 550;155 737;667 651;392 909;0;0;1 161 409;1 299 244;324 524;134 098;268 459;46 848;7 712;14 300;6 055;2 480;3 321;4 836;1 990;939;173;35
Чукотский АО;941 309;65 376;883 503;50 390;2 669;2;711 889;1 180 134;81 492;17 622;2 154;0;32 963;49 457;9 080;1 746;13 545;12 886;0;0;19 416;36 574;7 854;1 746;6 603;41;194;353;93;29;82;95;21;13;5;0
Ямало-Hенецкий АО;18 436 107;11 749 670;14 835 346;7 808 259;80 519;40 922;9 442 078;8 221 028;3 851 125;4 214 523;8 737;1 287;566 334;492 379;195 046;211 169;224 630;122 394;0;0;341 653;369 982;156 943;195 040;97 459;34 074;1 715;3 906;2 347;2 097;726;1 340;730;619;4;7
Республика Крым;15 860 522;7 057 458;14 170 734;6 028 721;17 386;7 190;32 440 469;47 673 592;1 956 937;1 064 231;0;0;1 064 375;1 433 297;137 759;75 185;405 093;562 033;0;0;659 268;871 094;97 397;53 774;98 841;41 321;12 247;35 160;3 201;1 664;5 639;16 735;1 201;628;0;0
город Севастополь;6 320 112;1 636 329;5 662 461;1 369 868;11 411;9 723;10 469 052;13 312 120;861 680;1 609 563;0;0;314 089;399 883;60 436;18 876;133 599;167 224;0;0;180 491;233 240;43 514;16 211;36 695;8 674;4 447;10 975;1 262;555;2 189;6 063;478;278;0;0
