GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125
Смоленская область;141524291;139519816;20951;10603305;10596291;105962852;2534;6860;6860;75464;22;26911472;25403548;141136190;5506;70254438;70224053;352267897;14509;1012765;793668;5202937;183;1526828;1526828;9179497;453;0;0;0;2;0;0;0;0;72056;69846;360648;113;25560413;25336734;163323400;8072;4183404;4165481;2584;1023725;1023396;94;5592260;5577526;3697;421416;417401;2302;777;770;24;154;122;4;-92;272;28;23745;9180;58;0;0;0;135229086;133546897;20688;85504955;84162169;20182;6402768;6408256;1062;14288043;14248047;4648;4427637;4398404;2488;70616;69096;111;24125669;23874582;7537;371112;371154;617;0;0;0;11753;5479;22;7546341;7417829;2154;12873376;12704902;19540;315261;317770;18;111348629;11874208;2374842;1527150;305427;237936;1831479;17571333;3514267;2205414;441079;253513;2819675;49818138;6076605;111348635;7405310
Тамбовская область;120818393;116622564;12292;22854868;22771811;227718105;2973;6429;6402;70421;30;23862216;19729666;109609252;3274;47118545;47118541;235592751;8178;54137;42261;277036;74;237736;237736;1426414;142;0;0;0;3;0;0;0;0;121525;119377;600193;138;19654543;19511465;148163345;4649;6031492;6001603;1448;534767;536090;19;6971042;6942355;2196;99894;92497;1350;136;137;12;0;0;1;2338;3099;40;37558;1688;4;1;1;0;116476453;112404918;11759;90092065;85944422;11685;1183726;1181051;126;344297;344256;103;6384963;6378010;1344;114457;112309;133;18152429;17919371;4267;66165;66816;212;148;148;1;384;0;1;577049;576872;35;11296812;11045885;13120;663345;661889;36;16133398;8597143;1719428;1555317;311063;156503;1251862;16417887;3283577;4090602;818120;156612;2308845;1953593;69534;16133398;537729
Тверская область;212252888;179471010;20974;9624040;9544858;95448595;2301;1544;1522;16747;22;67795400;35621414;197895338;5858;103593987;103607967;518035711;14747;193302;194685;1276271;117;2296224;2296224;13776925;384;500;500;2989;3;0;0;0;1;97663;97279;508053;137;25286246;24814858;159207118;9088;2673808;2632925;2829;57395;57348;73;3345587;3288012;4257;340603;324335;2951;1934;1793;21;298;298;8;4184;5605;34;10880;9190;34;1;1;0;193706183;162024054;19688;159669830;128486570;19520;7557515;7504505;664;476103;468500;301;3847000;3824518;2701;95620;95254;136;21840739;21400465;8636;240810;240498;313;142;142;1;-6032;2262;7;1341560;1341485;248;21929393;21608189;23372;1376904;1368335;51;31289982;16197264;3239456;3402430;680491;265322;2293643;24311618;4862327;6628568;1325718;271747;3264862;3267891;3870803;31415280;1337736
Томская область;283570440;279601154;18237;13836266;13835222;138352323;1838;3223;3241;35654;5;56529449;54284996;306840008;5316;149539876;149539826;747698579;12719;171146;151800;995128;74;501707;501707;3010246;207;871;871;4356;6;771;771;3854;2;125698;121136;657626;115;58553003;56916688;366428078;7536;3699946;3590194;2793;363562;305703;15;4318293;4246664;3941;166443;147056;1781;1253;1246;13;0;0;1;1859;1859;18;68000;17443;14;23;23;7;219366939;216271456;17514;153813870;151975145;17368;2261854;2287684;326;393814;256457;135;4758522;4695017;2598;124711;120149;112;57901581;56841432;7164;108641;92128;218;615;615;5;14981;12389;4;1076082;1082402;130;67067416;66121405;19446;6411485;6165296;85;26135382;25155874;5031174;4726457;945292;501328;3584554;37803812;7560760;5924140;1184829;515897;5860034;5540490;1230369;26197456;1004164
Тульская область;262685566;260191362;26997;18729646;18717234;187172328;2552;3873;4385;48231;17;51689475;50238286;279101862;7484;128823171;128823171;644090336;19073;121938;113259;741803;105;634196;634196;3803937;288;5326;5326;29558;14;0;0;0;0;327801;321394;1653613;244;48948743;48075325;300134124;11511;10896585;10744033;3737;1281652;1281396;79;13378799;13225281;5260;1340728;1095559;1920;409;302;14;3;3;1;5481;7235;54;44933;25244;38;4;4;3;254391696;252494257;25851;185923281;185042097;25678;11764551;11758762;841;723753;712705;349;11910052;11308807;3638;324239;320529;243;42773363;42371658;11016;977109;980634;331;16;16;2;25528;15128;6;2881728;2879694;239;36414440;34124333;28060;4915099;4892013;138;214125108;24932830;4986566;7281359;1456273;984619;2545674;34320093;6864019;8476137;1695228;993417;4175374;6359081;2364310;214125086;2841360
Тюменская область;520219915;510238193;30073;10472973;10165331;101662395;2760;-592;2069;22762;34;110767401;106272095;590395926;8600;271410244;271410244;1356555421;20929;609640;553970;3631576;196;1384467;1384467;8306803;454;4162;4162;39536;9;0;0;0;1;698647;696947;3608484;189;96150685;91466704;570075082;12769;23620556;23122001;5054;1509024;1508770;66;28829643;28390596;7423;7563209;6901217;2263;948;948;8;11;11;3;1983;2071;39;295495;32794;17;42;42;8;436316181;429541749;28637;308661075;304506211;28392;7932930;7849424;380;334615;329942;163;24592537;24472211;4846;691747;690270;179;87230610;84839815;11983;6850485;6832008;451;3;3;2;47515;1067;5;15502876;15501799;149;131543642;127517823;31235;11269667;11272531;85;303449675;69330998;13866199;15213617;3042722;2051554;8771923;179192338;35838466;18082700;3616539;2895818;29326109;49187909;7929674;303637106;15290638
Ульяновская область;147917034;142725507;20762;6951723;6972359;69723621;2087;847;1390;15288;25;38045886;32845574;183319518;5789;73908497;73908497;370109150;14504;454091;444384;2912976;130;1355604;1355604;8133623;308;783;783;3794;6;228;228;1141;3;112189;111624;577077;160;21553775;21577152;136339831;8626;4138773;4166828;2795;189065;189081;26;5548287;5522726;4055;310762;252659;1609;-1;163;7;312;312;4;670;829;22;3572;402;10;279;280;5;135327238;130314088;19932;102621517;97596130;19814;9398138;9395397;409;455022;447405;191;3743127;3706726;2677;110532;109473;154;19000063;18963829;8229;196583;195966;314;0;0;0;1580;1449;7;765622;765838;160;15882577;15630556;21559;70463;70463;34;60890750;22424824;4484964;6912766;1382553;625516;2476895;28357971;5671593;7567288;1513457;633487;3524649;2279649;13051080;60891055;765606
Челябинская область;791494688;785269295;83196;26881550;26604763;266047599;4725;11716;11712;128826;49;151397080;147542813;819582182;22915;430219827;430198531;2151080764;59307;4292379;3657598;23977586;533;9077870;9077856;54467114;1227;69051;69051;369215;23;1111;1111;5678;4;1047130;1037553;5325806;442;141276872;140291731;884818395;39283;24051221;23773581;15001;783809;740379;257;27241793;26854079;19398;1184913;1148575;4609;14943;9284;57;531;503;18;12318;12243;124;93298;39605;191;-14;85;18;720422007;715037587;80676;519501337;515366669;80096;24039236;23827465;2368;14548804;14506888;981;24944257;24909268;13933;911062;900518;420;134834634;133881436;37361;1527524;1531309;816;294;294;3;26467;18471;52;7499292;7496847;1620;88903461;88010968;84866;6276656;6224572;187;293868383;80357887;16071577;19391972;3878397;1234338;10958842;255586807;51117360;117930380;23586079;1410093;26121188;16077117;2715731;295806842;7428980
Забайкальский край;47801926;47250904;4866;2815199;2758448;27584484;931;-16;322;3546;14;10385483;9958264;55324112;1457;26399980;26399980;131997802;3298;16728;15150;99312;30;75336;75336;452027;99;5589;5589;5161;7;2;2;9;1;715790;715298;3650171;73;6143731;6093706;37596245;1595;1064013;1017084;521;29631;30217;10;1246409;1223315;920;147336;131423;1868;-8;0;0;0;0;0;1069;1069;17;90014;278;7;141;141;1;42943134;42523437;4322;31808282;31421961;4225;2656032;2639750;347;10968;8188;20;1625846;1621036;458;653995;653503;71;6045415;6037520;1454;101144;99955;160;0;0;1;47283;2245;2;7503232;7500438;283;8147245;7973291;6202;365142;366613;24;76802329;11245982;2249198;1068341;213668;85249;1950281;29649212;5929845;1097910;219582;86588;5623675;11631753;297943;77633771;7367659
Ярославская область;250536204;251048674;37156;7745994;7702622;77025797;2617;130;130;1426;7;50148100;50698556;283237768;10687;134265659;134265704;671322675;26185;218870;217111;1423360;128;797610;797610;4785673;382;10749;10749;53750;13;75;75;375;3;212419;212000;1092303;191;47275414;47170220;293407446;15452;8413321;8403794;4895;446121;447825;114;10193735;10201139;6963;415213;392873;1499;983;602;22;200;94;9;19887;19887;70;25646;22777;29;0;0;0;223889735;224675252;35719;159591188;160405877;35504;8338396;8340053;876;649421;648742;404;11164198;11174507;4767;212440;212031;185;43454985;43301063;14778;323008;323640;400;149;149;4;1969;1639;7;1478069;1477295;313;36701256;36400343;37803;1756500;1756323;55;76940256;42930488;8586097;6683544;1336709;920858;6328530;59362647;11872532;11007380;2201476;942270;8728786;136758620;1618784;77264717;1478354
город Москва;16293024161;15921151770;713406;564726199;557698921;5579054900;54716;1476942;1443154;15874695;305;3538829932;3233043496;17974886706;203910;8141929353;8141929353;40747535637;490687;19374047;18059043;118379435;3032;49473918;49473918;296919907;6501;9204778;9204778;46340584;129;534178;534178;2735253;90;17728646;19508328;100559592;994;3220212397;3187367213;20394053881;345488;526036489;514927277;110545;173688124;174313554;1701;768865785;744354696;147911;97498436;93778083;34795;3500197;3465378;667;187117;186104;270;21487;21499;198;3831736;2469558;1614;3878;3715;44;14473430091;14128607621;679336;9639822922;9347785658;671957;1177753209;1054134773;58347;64490355;64519997;10382;583264285;559533535;104137;18471594;19516267;958;3033111798;3001875286;332795;80568788;80659110;17786;509246;509246;92;1777164;1338191;387;1034939074;1029089454;8996;2147703841;2116236637;701401;295697683;294536942;888;12593879448;3204022655;640804527;877000008;175400001;75157637;390246889;108815388676;21763077728;92706312553;18541262509;173600436;3048214783;5513413827;102465399697;12589679770;1026832511
город Санкт-Петербург;4753789488;4774370107;333884;195363949;196262334;1962723366;22127;53413;54102;595108;156;974434974;998235909;5546290939;97127;2558835786;2558775786;12770904701;234681;6315327;5334608;35023101;1556;17151958;17151958;102916756;3335;424166;424166;2263881;70;72817;72817;364273;9;2177480;2170703;11207819;492;863275725;861345799;5353822724;163614;122541862;122865485;57862;2962351;2957423;658;138445900;137883355;73442;14969774;14057191;12539;69433;67601;254;12965;12391;83;2553;-1001;147;273720;183897;401;27400;26264;24;4172686992;4197337367;326184;2960292321;2989717601;323340;245955928;245003988;22274;9295812;9224954;4281;144654180;144004894;55503;2158202;2151200;462;797744578;794696081;156377;12491518;12433033;4819;21339;21339;16;200420;165106;141;189565906;188561269;4678;667325342;661831279;335027;34779400;34798990;391;1951315811;842491855;168498368;336316961;67263383;15750250;85484735;4902499170;980499834;2909008676;581801721;31403339;367294774;2802398730;144766807;1951315808;188990994
Еврейская автономная область;5911228;5894047;703;492898;492517;4925164;127;2458;2472;27192;2;903275;890690;4948281;200;3301954;3301954;16509766;485;189;189;1239;2;80;80;481;3;0;0;0;0;0;0;0;0;64677;64501;334592;13;733867;732490;4519282;230;402419;399996;72;0;0;0;411796;409155;126;8856;7465;635;0;0;0;0;0;0;615;615;6;580;0;0;0;0;0;5132095;5145430;656;3734855;3752430;637;280816;280691;80;1715;1715;4;347573;341385;68;64673;64497;13;700594;702684;227;2025;2029;18;0;0;0;499;0;0;647155;636967;36;961626;945917;1270;0;0;0;7817789;725139;145025;155883;31175;10983;102867;799205;159838;157911;31581;10983;117274;177335;0;7817795;636967
Ненецкий АО;7524421;7463310;298;134847;134858;1348582;48;0;0;0;0;1773272;1650547;9169709;106;4586335;4586335;22931675;207;21341;21341;139902;3;66679;66679;326378;12;0;0;0;0;0;0;0;0;44290;44290;225880;23;757068;747525;4564687;118;105670;105650;35;0;0;0;223781;224017;68;5742;4072;24;0;0;0;0;0;0;797;797;4;0;0;0;0;0;0;11793909;11791055;283;10931137;10938346;281;7458;7458;3;3083;3083;2;84541;85462;35;43388;43406;22;722919;711918;115;1382;1382;15;0;0;0;0;0;0;2381706;2381655;11;1197950;1185963;294;3177909;3178492;10;53040928;393073;78615;192725;38545;28202;11868;1851053;370211;201341;40268;32134;297809;4625156;614448;53040928;2381655
Ханты-Мансийский АО - Югра;1110917850;1067430100;22768;6045230;6034289;60341577;1145;10225;10309;113394;17;264131052;222513172;1236183025;6807;688391067;688393035;3440216938;16111;274384;234097;1534632;128;558351;558351;3353402;320;5440;5440;27226;9;0;0;0;0;30069430;30066417;154390931;215;90093127;89874926;566150708;7280;27165455;27025980;3040;1261886;26979;16;30318503;28821628;4738;1043404;898452;2379;2950;3839;9;0;0;1;459;459;20;7832;2563;4;-24;-24;1;641091195;639157882;21107;493900052;492150108;20960;3980665;3980506;187;586197;563361;82;29484342;29466760;2676;9471879;9469056;204;86682854;86454622;6991;735554;727857;593;0;0;0;4012;3252;6;69734600;67987190;107;388781181;386703511;24636;55844569;49028149;157;1865337103;65487919;13097584;16277629;3255527;1936857;7905200;144764812;28952962;45241622;9048325;2028356;17876281;10253689;6681481;1865344026;67972236
Чукотский АО;9121389;8956881;390;315436;277253;2772527;85;1200;1200;13201;4;1979628;1851701;10287229;128;4280718;4280718;21403589;264;139;121;795;5;289;289;1736;4;0;0;0;0;0;0;0;0;270435;270177;1385711;28;1607822;1597338;9732183;142;556974;574875;66;1;0;0;665723;678085;135;568681;522685;1043;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;10988002;10830025;366;8086186;7943219;363;90907;90907;10;29;18;1;816435;816275;46;270434;270176;28;1356633;1342293;140;367378;367138;106;0;0;0;739;739;2;5037769;5017053;35;2252700;2183618;1246;164986;164986;10;77041764;943924;188786;255348;51070;62893;74823;1374273;274856;262870;52574;70415;151867;251638;182342;77041763;5023129
Ямало-Hенецкий АО;815904362;815020663;4653;1494912;1481519;14815193;333;2919;1768;19445;9;191119277;190417459;1057869273;1430;488264804;488264804;2441366134;3264;31731;23154;151786;36;59109;59109;354650;76;230;230;1147;4;300;300;1500;2;200353;196132;1010522;115;97794872;97683083;597553157;1797;35926497;35957747;699;49;901;3;36918613;36872043;1074;6132755;6133045;994;43;43;3;0;0;0;434;434;8;0;0;0;0;0;0;525150417;524731126;4190;386165860;385929045;4153;1638584;1640141;38;96989;96685;8;40903310;40900213;625;199101;194879;110;91479309;91281819;1705;4621742;4642260;292;0;0;0;903;903;1;4763877;4770083;27;367296123;366855147;5381;72939000;72925851;106;319964627;22678100;4535620;11008537;2201708;446761;1887151;393186821;78637364;15835336;3167069;453545;75016750;91422730;37601;319964628;4761172
Республика Крым;131593532;126003622;19325;8487536;8305026;83591123;2424;2175;2175;23924;9;28539539;24257069;127562295;5717;66624177;66624177;333190580;13352;64702;45442;297917;74;115317;115317;691902;157;947;947;4719;7;0;0;0;0;326714;322286;1650775;198;22546931;22230012;143584440;10902;5668239;5034515;4052;1424;1342;12;6093658;5402653;5310;215735;202747;2871;3891;3921;235;16;16;14;2112;2112;40;1284;675;2;0;0;4;113789445;108654383;18399;83566028;81731598;18104;504681;498062;115;175758;174070;171;5881772;5734758;3823;326580;320669;182;24116052;20988142;10177;57685;45977;226;0;0;0;311;0;0;152095;152125;36;21708841;21232225;21644;50983;45582;21;3493759;40561429;8112287;5123154;1024630;1062699;6024958;102076519;20415303;43068362;8613672;1552500;10249131;3517023;54172;3493759;151039
город Севастополь;27098223;25481057;6555;2087973;2082446;20824461;854;0;0;3;4;5811701;4940531;27447395;1936;13371467;13371420;66857104;4515;77990;27933;183116;29;133036;133036;798216;67;0;0;0;0;0;0;0;0;34962;34608;175001;53;4547879;4198074;26102892;3871;903829;574057;1355;0;0;0;1033214;693009;1844;34063;32616;744;768;287;26;0;0;4;430;430;12;784;784;2;0;0;0;22230210;20707069;6342;17030246;16325505;6220;83080;66208;60;13762;11382;34;958571;625732;1247;33141;32447;48;4099921;3634339;3661;11489;11456;52;0;0;0;0;0;0;6178;6266;15;5018506;4923048;7221;24035;25068;11;288954;8563658;1712732;390054;78008;111369;1523355;10326617;2065325;483325;96662;120728;1847935;8724912;112476;288953;6001
БАЙКОНУР;608581;576976;95;4354;4354;43539;15;0;0;0;0;206675;175048;972487;33;382261;382261;1911307;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15298;15298;94903;23;0;0;0;0;0;0;2;2;3;550;772;242;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;527331;518373;70;492543;483585;68;0;0;0;21651;21651;12;7059;7059;5;0;0;0;5969;5969;15;109;109;5;0;0;0;0;0;0;0;0;0;202463;180038;328;0;0;0;3296;243621;48725;66531;13306;7365;28054;271350;54271;67282;13456;7738;33077;255;0;3296;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
