"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195"
"Кировская область","185645431","185434668","13148","1749970","1749970","35009543","1705","27951","27951","586963","53","134822","134822","1926028","50","0","0","5","1","0","0","0","0","16030074","16030925","160308992","2035","2874","2874","31615","5","89","108150583","108120259","541543670","11025","-2","0","0","0","0","1868804","1941825","11650944","239","2143","2143","42855","2","4","4","21","1","306284","295482","1477412","178","49308524","49170512","303150859","7224","7226313","7216643","2997","553","553","1","8073793","7968294","4776","66773","66662","1590","0","0","0","3569","3421","23","15","15","3","145715","4701","22","140","142","4","154240678","153993039","11764","100988671","100817315","11265","2391289","2397713","297","240336","240336","202","8887890","8863141","2554","295427","288231","167","41414703","41363587","6611","21222","21196","158","0","0","0","39","0","0","177803","177803","50","34789400","34689079","14331","0","0","0","0","0","0","3293288","3295230","175","194233","193777","131","30304790","0","34876377","6975274","6773410","1354681","699686","4920907","54634","10927","0","0","0","10927","2","0","30703306","6140660","26539871","5307974","58705","773981","0","0","0","0","0","0","0","0","0","0","65579683","13115934","33313281","6662655","758391","5694888","5407812","1081561","1959352","391870","34022","655669","137650","27530","137650","27530","0","0","2","0","297455","5705267","0","0","0","0","30304790","33836"
"Костромская область","104025242","104068602","7327","1114056","1114056","22281422","1038","11969","11969","251354","38","80489","80489","1149841","25","7","7","110","1","0","0","0","0","6580304","6580533","65805328","926","1963","1963","21590","4","1253","81291482","81237445","406187954","6047","0","0","0","0","0","165624","165563","992372","114","0","0","0","0","0","0","0","0","145757","144900","724498","77","12489310","12588566","78717264","3508","1647948","1647054","1386","0","0","0","2143047","2141859","2540","49969","47137","479","0","0","0","202","202","8","288","288","6","6701","6701","16","-18","0","0","83911618","84020996","6406","67114475","67140989","6126","2299996","2300003","225","818886","819829","173","1634543","1635421","1229","143099","144135","77","11812011","11914052","3187","79125","76756","81","316","316","4","0","0","0","39488","39495","28","21169396","21099683","7587","0","0","0","0","0","0","1016177","1016187","87","47242","47095","71","361914849","0","58506652","11701332","48410080","9682016","143445","1875871","0","0","0","0","0","0","0","0","1743267346","348653469","1657148838","331429768","1289641","15934060","0","0","0","0","0","0","0","0","0","0","1801773998","360354801","1705558918","341111784","1433086","17809931","7314171","1462835","28920","5784","0","1457051","7","1","0","0","0","1","2","0","794349","8108520","0","0","0","0","361914849","34582"
"Курганская область","160430866","159950188","7187","2250998","2250998","45026471","1855","89684","89684","1883356","95","71753","71753","1025037","21","4574","4574","69917","1","0","0","0","0","8345571","8347007","83470146","1155","7912","7912","87028","10","24","93948500","93864300","469300794","4831","0","0","0","0","0","561274","554585","3327511","176","48","48","618","3","0","0","0","0","395674","355306","1776613","82","38646182","38364343","235276361","3355","15102238","15059550","1294","392","392","7","16108677","16039665","2008","82460","82458","356","0","0","0","961","959","12","40","40","3","4365","4439","2","36","36","3","131177590","131000082","5858","81143026","81134767","5431","947193","936772","134","222087","240372","83","13757444","13665313","1152","394777","354318","79","34678459","34634265","2926","36489","36206","79","21","21","5","0","0","0","2762","2765","19","35579381","35278843","7210","0","0","0","0","0","0","6223945","6226959","175","644868","643965","103","24329561","0","33091796","6618360","1349496","269899","176452","6172009","39025","7805","8865","1773","0","6032","4","0","4732001","946399","1515550","303110","2648","640641","0","0","0","0","0","0","0","0","0","0","37823797","7564759","2865046","573009","179100","6812650","463765","92753","11998","2400","32680","57673","0","0","0","0","0","0","0","0","166882","630647","0","0","0","0","24329561","2231"
"Курская область","194976854","195027655","11127","938122","938122","18762446","890","44204","44204","928289","46","59808","59808","854400","18","96","96","1472","3","0","0","0","0","44170521","44188593","441886470","2375","15310","15310","168409","15","1","102672272","102815331","514083518","9215","0","0","0","0","0","741417","735452","4412709","167","0","0","6969","0","-36","0","0","0","310281","310587","1552935","95","35052797","34993160","244112955","5318","10496395","10449335","2403","191","222","3","10971606","10926971","3824","167411","160595","567","2792","2792","2","352","352","14","6671","6671","9","-911","3636","13","0","0","1","175945876","176215607","10038","126314736","126676844","9796","6305812","6308852","273","891229","894254","333","10001315","9968415","2134","308253","308504","95","32088154","32024368","4807","45262","42068","110","1","1","1","-1572","29","2","1018239","1017700","23","30367918","30183166","11128","0","0","0","0","0","0","12167926","12206963","364","800027","799171","114","82807896","0","27790332","5558064","3753447","750691","664121","4143252","0","0","0","0","0","0","0","0","6163487","1232697","178295","35660","2841","1194196","0","0","0","0","0","0","0","0","0","0","33953819","6790761","3931742","786351","666962","5337448","2510457","502091","18840","3768","3608","494715","0","0","0","0","0","0","0","0","614718","3125175","0","0","0","0","82807896","947259"
"Ленинградская область","701936167","701840085","26783","3920290","3920290","78394857","3647","111865","111865","2348161","182","243955","243955","3486212","83","6104","6104","93311","1","0","0","0","0","27355534","27343609","273408285","2156","10292","10292","113216","14","718","470997515","471044303","2355277363","22215","3","0","0","0","0","3136315","3136633","18819795","444","1396","1396","31454","4","256","256","19450","2","606036","596898","2984491","239","141754511","141764110","868183473","13805","52224445","52088635","6324","7852","7852","23","53792721","53659831","9213","6500727","6504784","2001","0","0","0","2706","2706","32","7060","7353","18","12238","6357","22","9","9","10","706047653","705919579","23649","439710400","439498973","22729","47621177","47620441","1255","2934656","2941460","639","108712549","108771333","5439","603969","594981","233","96729982","96733141","12625","9760117","9760380","375","48","48","1","303","302","1","8193471","8319968","272","187338954","187201025","27886","0","0","0","0","0","0","193012542","192969013","456","10760731","10887481","502","606764635","0","100202146","20040426","13344777","2668954","1677330","15694142","107647","21529","85","17","26","21486","16","0","104933476","20986694","80831778","16166357","17672","4802665","0","0","0","0","0","0","0","0","0","0","205135622","41027120","94176555","18835311","1695002","20496807","18692737","3738547","3383488","676698","53093","3008756","64432","12886","2226","445","162","12279","10","0","11569199","30261936","54482","0","9","0","606764635","8309330"
"Липецкая область","335015258","334281884","14986","974253","974253","19485038","1000","15762","15762","331007","32","74031","74031","1057584","29","12175","12175","186105","4","0","0","0","0","49149338","49118777","491187855","1965","12068","10076","110832","16","1","203679661","203462467","1017272550","13223","0","0","0","0","0","1631759","1635540","10218906","214","2312","2312","342415","5","0","0","0","0","155545","158144","790723","162","63163964","62776725","413224309","7013","15327837","15231128","3721","11268","11268","6","16155412","16041672","5575","703132","700858","701","0","0","0","136","136","7","27440","27347","9","4933","3997","8","1435","1435","1","338949457","338978747","13723","246579868","246660650","13409","15372339","15440044","423","1601273","1601912","331","14855910","14896635","3242","160902","158781","158","59684730","59524841","6428","724883","724570","217","0","0","0","0","0","0","24502","24502","21","44889018","44205525","15043","0","0","0","0","0","0","48106952","48188880","233","8170363","8168622","206","346270640","0","24578599","4915722","7020537","1404109","296471","3215142","5385","1077","3329","666","78","333","8","0","7435914","1487183","25331","5066","5909","1476208","0","0","0","0","0","0","0","0","0","0","32014513","6402905","7045868","1409175","302380","4691350","2170428","434087","153009","30602","29239","374246","83543","16709","116","23","0","16686","9","0","489296","2659724","0","0","0","0","346270640","24215"
"Магаданская область","65199778","65066619","2184","495756","495756","9915506","432","18921","18921","397351","24","60127","60127","858959","14","1","1","18","1","0","0","0","0","1574712","1550733","15507328","324","60","0","0","0","-22","49393969","49330579","246600760","1630","8","0","0","0","0","13836","13388","80328","24","0","0","0","0","376","376","7513","1","386245","386398","1931992","31","7904348","7851891","47803481","646","5086580","5096694","344","4574","4574","4","5351817","5358816","704","21312","42272","224","0","0","0","18","0","0","2731","2731","3","0","0","0","0","0","0","75675665","75661014","1834","60136346","60118290","1763","3423354","3423464","51","2947","2947","4","4157368","4157803","260","386398","386398","31","7537800","7542835","568","30092","29110","56","0","0","0","0","0","0","5435769","5392435","139","14984061","14878246","2060","0","0","0","0","0","0","30835843","30817611","431","991604","995522","42","338216703","0","2270705","454144","244619","48922","30117","375105","268","54","0","0","0","54","2","0","4060299","812060","162","32","117","811911","0","0","0","0","0","0","0","0","0","0","6331004","1266204","244781","48954","30234","1187016","236978","47395","2807","562","2558","44275","0","0","0","0","0","0","0","0","2352346","2589324","0","0","0","0","338216703","5392434"
"Московская область","5382091902","5379905719","156170","17387954","17387954","347714886","15973","428918","428918","9007281","688","1753455","1753455","25049351","603","31066","31066","474870","20","0","0","0","0","341136104","340849574","3408495616","11886","12631","13723","150956","35","246502","3662341127","3652525255","18262654935","134677","120","0","0","0","0","15857424","15836805","95020829","1689","36463","36415","271611","21","39010","39010","271876","15","2384315","2380689","11907203","714","1107381278","1106465820","46171003685","91763","203088415","204277766","39040","12186395","12469838","136","233117864","242210239","55605","8071238","8020091","5457","102937","102937","11","7595","7593","93","236141","191284","243","1882711","1626948","293","3493","3493","22","4670728405","4669032169","140862","3033408205","3031797823","135302","307946652","308118017","11308","74791096","74863876","5122","226069454","225732156","34109","2375826","2361419","694","1018925914","1019034930","85846","7421620","7279358","1929","-1939","9416","14","648409","553573","33","39091643","39214523","996","833450665","832295660","156525","0","0","0","0","0","0","151162519","150906395","1463","15976591","17282123","1714","1262947462","0","1482854327","296570865","246328408","49265682","21421838","225883345","157069","31414","88637","17727","127","13560","45","0","714307785","142861557","356803566","71360713","1110432","70390412","0","0","0","0","0","0","0","0","0","0","2197162112","439432422","603131974","120626395","22532270","296273757","397604527","79520904","9480245","1896049","695215","76929640","1017839","203568","9945","1989","48414","153165","34","0","109465086","507069613","638849","9643","75","0","1262947462","37972422"
"Мурманская область","122172674","121533820","6290","1673457","1673457","33466830","1797","50804","50804","1060873","82","109994","109994","1571349","33","0","0","0","0","0","0","0","0","9011434","9010393","90103934","1106","18","19","207","1","0","81944566","81355538","406777750","4018","0","0","0","0","0","445060","444955","2669732","110","973","973","19451","1","0","0","0","0","307205","307205","1536026","39","15607161","15572792","103037178","2688","5517311","5499418","879","141171","141172","7","13022975","13008662","1523","75078","69415","1307","0","0","0","6868","1889","17","1201","1201","5","787022","787022","5","0","0","0","167529596","166934045","4718","144949280","144947363","4366","2438219","2438866","135","275609","275522","56","4518689","4509568","724","301664","301664","38","15005683","14427030","2293","36841","34030","175","0","0","0","668407","668439","2","6764638","6760597","108","27530578","27483218","7097","0","0","0","0","0","0","79435735","79433948","318","5509591","5503322","78","469558743","0","34664570","6932913","5208741","1041749","1241896","4649268","39","8","0","0","1","7","1","0","11660258","2332052","30704","6142","14479","2311431","0","0","0","0","0","0","0","0","0","0","46324828","9264965","5239445","1047891","1256375","6960699","7349127","1469826","31416","6283","11535","1452008","10967","2193","5450","1090","0","1103","5","0","30092826","37441953","0","0","0","0","469558743","6643645"
"Нижегородская область","1277087429","1275862327","62854","4096820","4096820","81936773","3951","138122","138122","2900572","188","354811","354811","5068722","158","0","0","0","0","0","0","0","0","79802906","79774824","797768337","5022","18114","18114","199256","26","21915","915553204","914750654","4573707204","57020","0","0","0","0","0","9869485","9865979","59197354","992","188","188","32675","2","0","0","0","0","1227013","1218755","6099685","340","211859321","211932307","1293084033","32891","49536933","49004603","17100","218478","227290","63","54147064","53691087","24604","1376489","1336831","2024","225","218","1","1120","1120","26","42046","41706","52","250113","238210","78","-79","6","1","1094772267","1094293780","58622","798311881","798843132","57344","38531038","38542970","2643","5591311","5601566","1290","48852735","48436027","14750","1212287","1203827","320","201259234","200684803","31181","1026826","986402","679","307","307","2","35682","35509","10","3928783","3928514","412","239127598","237802593","62907","0","0","0","0","0","0","59018084","58492923","829","10048190","10098178","629","377734201","0","244239645","48847928","38478774","7695753","8976964","32175211","161697","32339","698","140","27","32172","16","0","76783831","15356766","5874514","1174903","205190","13976673","0","0","0","0","0","0","0","0","0","0","321023476","64204694","44353288","8870656","9182154","46151884","17225851","3445172","620290","124059","44157","3276956","56809","11362","39529","7906","0","3456","13","0","184721347","201947198","16936","0","11","0","377734201","3871390"
"Новгородская область","118606340","118591757","6478","586225","586225","11693292","587","20643","20643","433502","47","53544","53544","764913","21","0","0","0","0","0","0","0","0","9051836","9051364","90513640","706","4884","4769","52461","8","73","75196715","75181415","375955729","5665","-1","0","0","0","0","3621620","3632089","21792535","155","803","803","16051","1","0","0","0","0","226894","224962","1124808","64","26164069","26172286","162220923","3160","3245959","3246866","1507","10386","10386","8","3678951","3663506","2420","125205","125199","360","356","356","2","497","497","8","1743","1743","4","1900","1900","15","786","786","1","110376382","110433675","5887","78309774","78373040","5727","3883685","3883685","245","645711","645783","178","4436215","4459766","1270","217789","215519","65","22770632","22743319","2955","115877","115869","98","0","0","0","0","0","0","130214","130198","62","21161619","21090202","6492","0","0","0","0","0","0","12917140","12917445","141","1100819","1108391","76","155101578","0","12572923","2514585","1251358","250270","588847","1675468","446","89","0","0","65","24","2","0","4968816","993763","771677","154335","14984","824444","0","0","0","0","0","0","0","0","0","0","17541739","3508348","2023035","404605","603831","2499912","525290","105057","207621","41523","153","63381","20","4","0","0","0","4","2","0","465885","991175","14780","0","3","0","155101578","129559"
"Новосибирская область","821362261","821008786","65428","5856530","5856530","117138592","5766","156071","156071","3277503","255","457209","457209","6531554","166","7666","7666","117181","6","0","0","0","0","76774258","76768639","767824483","7142","21378","21378","235103","29","-637","552076838","551871805","2760110653","57284","0","0","0","0","0","3214618","3212116","19259825","873","5233","5233","113135","5","0","0","0","0","638075","637136","3203790","167","145514724","145484223","911846845","32630","33561894","33536965","16567","184447","186203","29","36644458","36536086","24363","704655","705816","1469","219","219","3","3211","3094","29","87985","87985","65","146492","141305","103","-1552","53","4","699308397","700169863","59978","482601657","483624331","58352","35287325","35316374","3023","8563172","8579502","1268","34602653","34618565","14269","631125","630290","158","137242384","137050759","30754","389305","393073","428","0","0","0","113821","109761","6","18452674","18455308","303","140731451","139448850","64688","0","0","0","0","0","0","36236842","36152178","938","3196935","3210753","384","284361558","0","192220298","38444059","50978347","10195667","3305128","24943264","106534","21307","0","0","0","21307","2","0","586535440","117307088","289624516","57924902","2392845","56989341","0","0","0","0","0","0","0","0","0","0","778755738","155751147","340602863","68120569","5697973","81932605","82773345","16554668","6935181","1387036","70596","15097036","8112","1622","4259","852","9","761","8","0","7188622","89961967","219","0","1","0","284361558","18267575"
"Омская область","354231854","353473991","22215","2243458","2243458","44869188","2146","58329","58329","1224903","108","247231","247231","3534926","49","4277","4277","65370","5","0","0","0","0","25072414","25071848","250718488","3558","8600","8600","94601","22","-15","257956797","257619663","1288118593","18895","0","0","0","0","0","413746","412310","2476165","251","0","0","0","0","0","0","0","0","315514","313549","1567745","110","52339268","52090546","327534268","10030","13910073","13745286","4801","5297","11063","22","15571199","15402983","7579","150116","149045","826","0","0","0","629","629","19","1107","601","9","31901","12487","29","23","23","1","275650864","275204244","20098","206778396","206869031","19558","3316963","3288282","505","1321422","1327856","490","14234062","13990032","4224","314597","312632","108","49583376","49321930","9217","107205","99637","143","161","161","2","16215","1476","1","669053","668645","145","91649983","91299082","22180","0","0","0","0","0","0","13732506","13389996","522","6255615","6254423","170","59310750","0","60295015","12059006","10908645","2181728","1300367","8576911","7765","1553","0","0","0","1553","5","0","29001086","5800217","17771369","3554274","4214","2241729","0","0","0","0","0","0","0","0","0","0","89296101","17859223","28680014","5736002","1304581","10818640","11405408","2281081","803983","160798","16543","2103740","85532","17106","70524","14105","0","3001","8","0","586378","11991786","51980","0","2","0","59310750","630645"
"Оренбургская область","409204415","408962829","16213","1197749","1197749","23955931","1356","33765","33765","709058","49","42890","42890","612714","16","2","2","25","3","0","0","0","0","22001612","21980525","219794555","2997","35466","31866","350911","24","80","297394992","297236688","1486199641","13775","0","0","0","0","0","1347235","1348255","8088335","320","1364","1364","29293","3","0","0","0","0","770378","769752","3848760","109","70127694","70085565","441366294","7744","14853396","14806288","4076","410882","410791","8","16248758","16232898","6045","166738","167287","755","0","0","0","782","359","22","3667","3667","7","7078","7623","12","2137","2137","8","302828823","302897691","14539","212529407","212756262","14185","2810991","2810687","246","4593336","4594309","188","15938114","15713629","3548","770499","769424","105","66046611","66116748","7020","141000","141210","196","0","0","0","332","0","0","5141919","5143520","97","120309625","119957890","16344","0","0","0","0","0","0","18831166","18792047","374","11869893","11869954","231","133909660","0","39461093","7892217","6104825","1220967","595995","6075255","10568","2114","5058","1012","0","1102","6","0","36751577","7350314","10332025","2066405","65620","5218289","0","0","0","0","0","0","0","0","0","0","76212670","15242531","16436850","3287372","661615","11293544","11240641","2248128","578793","115758","1826","2130544","33073","6615","16900","3380","1536","1699","2","0","540860","11781501","19496","941","15","0","133909660","5133550"
"Орловская область","119511650","119616146","8193","617674","617674","12353475","610","17705","17705","371815","44","25937","25937","370529","12","0","0","0","0","0","0","0","0","16083242","16082380","160826276","1606","8726","8726","95982","14","-1","66639428","66767708","333833095","6898","0","0","0","0","0","2274961","2281218","13687307","193","5652","5652","48931","6","0","0","0","0","131850","131822","659112","76","25515011","25506033","172525417","3890","7823403","7807395","1551","6459","6459","3","8196906","8176731","2526","135473","133851","390","0","0","0","1951","1951","11","72","72","1","10044","9958","13","0","0","0","106938091","107127403","7404","66684620","66882170","7203","4324565","4324084","246","1412881","1419200","248","8812138","8814830","1381","131366","131339","75","25546120","25532875","3614","31547","30653","121","0","0","0","6","6","1","64124","64133","28","19387455","19307018","8223","0","0","0","0","0","0","6669003","6674635","231","995430","994682","96","24815030","0","14609880","2921975","3015950","603191","289007","2029777","0","0","0","0","0","0","0","0","2017555","403510","86197","17240","16457","369813","0","0","0","0","0","0","0","0","0","0","16627435","3325485","3102147","620431","305464","2399590","1388645","277729","11220","2244","1934","273551","0","0","0","0","0","0","0","0","101692","1490337","895","0","1","0","24815030","58800"
"Пензенская область","230456509","230083594","14045","1548941","1548941","30979436","1497","37519","37519","787891","62","76834","76834","1097629","33","125","125","1909","1","0","0","0","0","30408176","30368666","303690636","2042","-22050","5992","65916","10","166","148511478","148294006","741476635","11843","0","0","0","0","0","784575","759849","4559093","324","80","80","3988","1","0","0","0","0","155217","154745","773726","119","36623356","36542248","318769270","7289","11046376","11017841","3238","4928","4928","4","12331414","12294273","4999","126782","106338","515","0","0","0","846","861","17","10064","10064","2","7413","6587","40","759","0","0","191054264","190826331","12597","140688117","140541600","12193","3623343","3625327","400","512068","520112","234","12265949","12242343","2842","147475","147004","118","33782602","33716318","6726","41888","39879","101","0","0","0","0","0","0","425343","425403","21","43145534","42947742","14165","0","0","0","0","0","0","4065817","4039129","189","1190829","1190115","183","21305916","0","31007402","6201479","3700577","740115","421952","5039412","977","195","0","0","0","195","1","0","7953865","1590773","466330","93266","8994","1488513","0","0","0","0","0","0","0","0","0","0","38961267","7792252","4166907","833381","430946","6527925","2489411","497883","145707","29141","7182","461560","0","0","0","0","6802","-6802","0","0","595933","3085344","0","0","0","0","21305916","5032"
"Пермский край","732664425","732365801","35868","3126362","3126362","62526994","3211","81247","81247","1706191","170","143402","143402","2048602","63","1095","1095","16742","3","0","0","0","0","24846612","24845825","248458185","2832","8089","7093","78028","20","7","541359643","541331125","2707050177","31698","0","0","0","0","0","7052640","7015106","42090637","723","1071","1065","10071","1","0","0","0","0","1988133","1987538","9937688","317","122358344","122299014","749299407","18673","28080611","27939698","9553","992087","992087","18","31694758","31523796","13772","3329366","3329654","1841","69","69","1","2726","2417","45","1186519","1185962","34","167590","162169","52","20","20","3","540046546","540258654","32670","375981389","376232553","31763","12188566","12180263","1040","3088251","3092134","505","28318307","28329495","8371","1986558","1986913","305","116396941","116352780","17561","2086214","2084199","297","26","26","1","2841","2841","5","29147697","29147747","134","186809396","186255428","36845","0","0","0","0","0","0","19677499","19643537","351","14587355","14325394","311","782449315","0","114627573","22925513","21246275","4249255","1355223","17321035","150","30","0","0","0","30","1","0","71819188","14363837","20647379","4129476","233141","10001220","0","0","0","0","0","0","0","0","0","0","186446761","37289350","41893654","8378731","1588364","27322255","27507182","5501438","1166120","233225","12104","5256109","6450","1290","0","0","0","1290","1","0","4873753","32380935","134","0","1","0","782449315","29086468"
"Псковская область","72126516","72046575","5954","641435","641435","12828693","600","44511","44511","934732","55","70448","70448","1006402","21","0","0","0","0","0","0","0","0","13258423","13260721","132607206","778","6251","6251","68764","16","12","43875556","43794185","218971259","5131","0","0","0","0","0","1044021","1043733","6262399","118","0","0","291","0","0","0","0","0","113969","115707","578537","57","11239124","11239711","70676706","2740","1597331","1595690","1166","15383","15421","10","1833162","1829828","1956","36060","36332","403","0","0","0","2","2","2","970","970","2","3358","2047","11","33","33","3","63357774","63305634","5304","47152437","47107780","5123","2400756","2400712","236","636769","637219","287","1682871","1680060","991","114254","115707","56","11353607","11343987","2530","29125","29091","78","0","0","0","133","133","2","466208","465764","171","11869129","11833564","5898","0","0","0","0","0","0","3509451","3508061","370","292564","290358","50","18859273","0","10837100","2167422","1358071","271616","121286","1774520","623","125","0","0","0","125","2","0","694616","138924","216874","43374","2936","92614","0","0","0","0","0","0","0","0","0","0","11531716","2306346","1574945","314990","124222","1867134","377605","75521","155032","31006","3194","41321","0","0","0","0","0","0","0","0","117698","495303","1174","0","1","0","18859273","464027"
"Ростовская область","901245794","899476151","54019","5185345","5185345","103673359","5365","167796","167796","3523023","273","637269","637269","9103848","199","8052","8052","123085","6","1","1","12","1","68929906","68888143","688865886","7722","64271","72075","792822","73","112","568103879","567921090","2839233711","45081","107","0","0","0","0","7025092","6840781","41043122","916","6976","7942","104841","18","8655","8655","118898","4","1230154","1230347","6182319","385","196704643","196548426","1263800295","30847","47384825","47274006","13588","580122","578429","45","53187396","51974044","19627","384559","382633","1112","4","4","1","5682","6167","63","23158","23158","36","38876","34495","63","1891","1879","16","799550521","799723887","48451","528821829","529149076","46599","33201772","33363106","2411","4784576","4777498","1355","47047178","47066029","11711","1132988","1128917","366","184292963","183971165","28570","280180","272807","333","4994","4994","11","10859","8204","15","30816546","30776153","396","147431183","145486927","53510","0","0","0","0","0","0","75880482","75842632","996","6168304","6172491","467","618069670","0","172971693","34594338","57285732","11457147","4272446","18864745","209293","41859","13588","2718","1030","38111","30","0","93517924","18703585","5644774","1128953","299738","17274894","0","0","0","0","0","0","0","0","0","0","266489617","53297923","62930506","12586100","4572184","36139639","22004178","4400836","1611494","322299","177430","3901107","203522","40704","103158","20632","168","19904","34","0","13071085","35075263","88041","401","9","0","618069670","30743697"
"Рязанская область","329317508","329153542","16251","1497550","1497550","29951002","1392","29721","29721","624142","54","43558","43558","622258","24","5","5","75","1","0","0","0","0","24523266","24484154","244840107","2076","20545","21475","236229","14","-4","211812644","211716149","1058579488","14065","0","0","0","0","0","1929441","1911655","11469932","365","671","671","13124","3","0","0","0","0","151323","150435","752382","101","68208153","68231080","432576161","8389","19958998","19918220","3838","13025","15821","12","21104724","21067604","5757","102119","104539","507","282","282","1","1751","1751","25","714","714","5","49265","40297","18","-3566","7","1","277632708","277828043","14704","184757243","185305026","14297","8477332","8207306","557","1395377","1383491","366","19627896","19620940","3413","139510","138615","92","63213380","63148085","7788","68343","70199","119","0","0","0","914","914","3","97213","97213","54","57663849","57306092","16259","0","0","0","0","0","0","5897006","5905340","165","1314641","1311383","187","25924994","0","41003987","8200801","3735751","747153","575843","6877805","0","0","0","0","0","0","0","0","35905895","7181179","3083872","616774","87734","6476671","0","0","0","0","0","0","0","0","0","0","76909882","15381980","6819623","1363927","663577","13354476","1729249","345850","9045","1809","84","343957","5241","1048","24","5","0","1043","3","0","515210","2244459","23114","0","6","0","25924994","68896"
"Самарская область","1102342974","1101754325","59987","3566487","3566487","71296164","3618","137164","137164","2880434","175","200195","200195","2859931","73","95","95","1454","4","0","0","0","0","51043390","51006880","510070727","5386","12406","12257","134831","28","864","782549630","782543122","3913147713","54389","350","0","0","0","0","11184669","11227066","67354234","865","4288","4230","72009","7","48","48","1076","1","887573","883216","4416079","237","197164212","197023104","1313321924","30335","51619124","51224392","15660","280358","280964","43","55595345","55153027","22042","991808","988852","1422","-710","511","2","3096","3096","42","62521","61087","32","57214","19504","47","537","385","5","897680018","898115517","55598","627979239","628805800","54380","34661894","34612100","1774","2880469","2884799","858","55349998","55278556","13755","871543","867145","223","175338142","175054401","28562","619298","618224","426","0","0","0","19776","0","0","6300814","6322414","300","221618359","220551307","59635","0","0","0","0","0","0","22145539","22093945","539","14325753","14254629","511","269935471","0","200709872","40141973","38594301","7718859","3710581","28712533","174439","34888","13530","2706","5169","27013","16","0","102854670","20570935","14730682","2946137","512659","17112139","0","0","0","0","0","0","0","0","0","0","303564542","60712908","53324983","10664996","4223240","45824672","30174754","6034952","2431694","486339","287501","5261112","322548","64510","33990","6798","352","57360","19","0","6533539","36708293","0","0","0","0","269935471","6278639"
"Саратовская область","352944470","352460595","25416","1573493","1573493","31469859","1700","66639","66639","1399428","112","121133","121133","1730478","32","657","657","10037","1","0","0","0","0","39981002","39969631","399696037","3810","24889","27735","302932","35","21","219236035","218852378","1094265041","22108","0","0","0","0","0","5046769","5047980","30287547","437","0","0","0","0","0","0","0","0","867522","861124","4305620","153","67012081","66973799","427177056","13683","17504367","17456896","6643","24205","24205","17","19018577","18965926","9558","146946","146377","626","0","0","0","5699","5699","28","1165","1128","15","10799","10080","37","-202","-202","2","298561829","298267393","23433","208160737","208277327","22827","7043260","6984185","546","1240178","1224906","393","18434217","18421950","5944","865393","858995","137","62765631","62444988","12709","55957","55714","159","0","0","0","0","0","0","524164","528671","117","68728624","68501835","25227","0","0","0","0","0","0","14550106","14516296","376","2993305","2992782","320","92761080","0","55007798","11001557","8413101","1682618","979641","8339298","5724","1145","0","0","0","1145","2","0","40387074","8077417","21376174","4275235","5712","3796470","0","0","0","0","0","0","0","0","0","0","95394872","19078974","29789275","5957853","985353","12135768","6355500","1271099","271357","54271","7729","1209099","45312","9062","0","0","0","9062","1","0","319322","6674822","0","0","0","0","92761080","522922"
"Сахалинская область","121814442","121774702","6034","1634785","1634785","32695494","1602","51743","51743","1086593","93","118605","118605","1694355","53","7982","7982","122017","2","0","0","0","0","9088883","9088873","90888727","983","341","341","3751","6","26","87154862","87112458","435568287","4098","0","0","0","0","0","628612","628612","3771642","75","774","774","14716","3","1360","1360","19059","2","287310","287650","1456299","54","19535031","19537449","128810435","2510","2915092","2915092","760","167825","167825","5","3302511","3302427","1520","149348","148348","420","0","0","0","55","55","3","23","23","1","11177","11177","6","141","141","9","123973060","123914951","4577","98860206","98801995","4313","2643179","2643179","278","133938","133938","62","3917069","3916954","678","289979","290319","53","18006806","18006560","2171","121884","122007","142","0","0","0","0","0","0","12004939","12036565","77","33574065","33575513","6048","0","0","0","0","0","0","48383675","47554184","318","1434520","1494906","105","168753535","0","32735349","6547070","4827069","965412","619839","4961819","1659924","331985","335","67","125","331793","9","0","5564021","1112805","1458397","291680","63664","757461","0","0","0","0","0","0","0","0","0","0","38299370","7659875","6285466","1257092","683503","5719280","3115603","623121","314706","62941","16351","543829","1532460","306492","0","0","0","306492","14","0","6666143","9781746","0","0","0","0","168753535","12035504"
