"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57"
"Томская область","124038252","46340784","111538630","39485060","264985","110985","32579607","73472348","13816655","7094976","1977059","4422052","1442487","733168","658219","1206802","0","57","1318812","3215193","1217177","676715","539695","112440","20960","7618","0","9826","554270","316279","7302","2715","5146","16280","7607","3728","2359","4258","2124","1004","42","16","0","11","4682","2409","9","23","57","14","0","0","х","0","0","0","0","0"
"Тульская область","95509252","47153908","87724311","41801789","324436","239972","61999763","144054349","8839077","5314417","3197883","7354760","1226407","740582","1076340","1892567","0","0","2121543","5462027","1077991","684311","382281","125247","11139","8527","589348","1109595","98010","56918","247518","6998","6381","24981","4651","2828","2439","6185","1055","791","280","14","397","1738","190","111","33","39","55","31","0","0","0","0","0","0","0","0"
"Тюменская область","289740288","214921176","236892793","148188859","638076","526220","50477773","160968432","57217591","67704192","2036111","6609668","3074260","3517946","745053","2135628","0","0","1291058","4474069","2387043","3158157","1506398","604239","21344","11211","1029425","3091604","4995160","6458547","21529","13264","5892","27168","14644","11858","2411","5193","3724","2344","129","36","3197","20346","10575","9325","24","34","173","70","0","0","0","0","0","0","0","0"
"Ульяновская область","76911668","36510934","70185871","31736952","434645","48927","51258296","118113528","7582598","4802493","2382394","4570681","970837","598222","831654","1417508","0","608","1550740","3152565","856544","553290","279750","78540","23403","4542","741803","2537661","161257","119710","0","0","6111","20152","4514","2183","2813","5016","1439","481","0","0","457","3539","279","221","31","21","45","15","0","0","0","0","0","0","0","0"
"Челябинская область","279573519","135157476","251673991","115038568","907569","418237","126612684","281673526","32959777","21215143","6697730","15100675","3343576","2068658","2265662","3953031","0","0","4432049","11191090","2814996","1892503","1278312","345328","36513","15572","992778","1346317","1510867","910616","507279","114837","15531","58158","14778","9245","5961","16463","3425","2681","858","125","697","1068","7303","4339","71","83","145","72","0","2","х","х","0","54","19","9"
"Ярославская область","123065521","36900366","112677525","32441692","903339","216781","55850749","108100015","11763574","4658259","3262115","6462883","1729805","676490","1066453","1659154","0","0","2195650","4805146","1522115","641869","470011","78754","53251","3381","127540","51385","53285","18448","27344","5542","7237","19625","6685","2814","2675","4727","1681","762","43","8","67","86","44","23","24","35","69","13","0","0","0","0","0","0","0","0"
"г.Москва","2597641468","538644725","2357980917","465479670","7829963","1786297","1797979268","3199101761","278177817","76574934","110403367","193522331","42539860","11627364","33058395","36516453","242152","743868","77102589","156310203","39610601","11218943","7521924","889124","475902","91916","34163","332092","152128","66785","17361","610","113435","345263","93199","26934","36443","57554","19437","6324","125","12","11","213","491","135","1444","1190","2244","336","х","12","3","х","28","316","64","7"
"г.Санкт-Петербург","1654103518","703330436","1379678546","503518778","4119418","2954326","376055599","885662630","295349700","203743490","22118965","53298674","22166969","14770453","7318308","11709652","0","0","14800597","41589018","19379795","14097141","6309636","1283160","125256","75751","800492","86165","21015773","15542211","165056","122297","31552","134858","62392","38124","9309","22024","10556","7679","498","144","282","94","48938","28796","238","218","1099","259","0","0","0","0","0","0","0","0"
"г.Севастополь","29719244","16209104","26711185","14057612","97526","58718","31838871","69552376","3348104","2221549","1230070","2697962","344648","230029","426831","961684","0","0","803239","1736136","284536","206147","140456","47235","1714","1907","697421","1471935","139929","99880","16036","х","4959","13922","1631","873","2548","3815","520","223","47","х","2345","9633","1033","614","14","12","24","8","0","0","0","0","0","0","0","0"
"Еврейская автономная область","9363812","4219854","8627358","3758838","11638","21836","3668721","7260644","823787","446836","220267","434082","127286","63453","64143","108336","0","0","156123","321753","107136","56779","42641","11117","896","162","1434","5156","1911","2530","х","1605","432","1311","512","250","197","314","152","63","х","2","8","11","13","5","х","3","6","3","0","0","0","0","0","0","0","0"
"Ненецкий АО","906819","305649","831839","232446","68","0","11790633","29899471","78834","73828","134564","385472","6386","4459","51947","153574","0","0","82616","231897","4853","2712","5113","2055","0","0","575520","1420094","3594","6362","1474","0","529","1271","60","19","174","127","22","3","4","0","351","1080","17","15","2","9","х","0","0","0","0","0","0","0","0","0"
