GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76
Астраханская область;2 700;0;0;55;0;19 961;3 833;0;3 102;2 694;678;301;352;38;26;25;24;2;91;8;5;1 559;433;1 115;3 145;336;1 059;912;2 367;3;7;16 259;1 736;339;6;2;3;9;847;429;0;3 144;7 762;4 681;3 974;12 513;996;780;579;1 177;68;3;1;4;4 858;4 179;1 368;11 376;2 121;10 931;17 783;5 571;2;26;84 657;1 407;3 445;3;316;17;233;5 762;11 852;0;0;0;2 207
Волгоградская область;5 975;1 258;0;229;0;61 557;777;66;8 106;7 050;1 894;1 008;764;80;117;127;81;5;94;19;14;3 058;762;3 567;11 318;875;4 281;3 205;8 085;38;29;46 011;234;92;2;0;3;6;208;77;67;5 482;14 962;11 027;14 552;34 185;2 512;3 329;2 522;6 340;693;4;3;13;8 276;8 705;4 445;41 798;6 974;54 639;66 881;12 157;18;87;272 051;215;2 088;1;0;37;229;642;1 587;1 412;15 160;0;21 158
Ростовская область;13 682;9;0;403;0;116 994;1 256;42;16 724;15 735;3 956;2 258;1 894;194;284;316;236;14;157;41;53;7 483;1 723;8 196;23 363;1 703;6 532;6 172;14 489;47;43;96 166;475;306;17;5;10;12;156;218;42;13 209;24 888;25 869;32 867;89 681;6 076;9 999;8 102;17 176;1 918;2;1;67;17 026;10 218;9 352;64 892;8 043;45 523;93 622;25 088;45;213;436 388;259;11 316;21;333;102;507;1 892;12 564;3 106;336;0;133 068
город Севастополь;804;0;0;14;0;5 197;130;0;884;570;151;62;82;5;7;13;14;3;19;2;7;499;38;347;980;91;268;417;647;0;0;4 454;31;28;2;0;1;3;21;44;0;296;414;509;921;2 607;72;177;191;594;274;0;0;4;458;199;133;844;130;692;1 973;450;0;0;9 182;22;928;0;0;2;40;695;6 027;0;0;0;424
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;90 677;6 074;2;2 913;1 987;857 146;6 134;567;104 959;91 974;25 333;15 937;14 730;1 667;1 937;2 084;1 368;79;1 057;224;162;55 110;12 484;37 824;137 490;12 514;61 998;58 368;133 076;5 001;2 012;631 232;1 795;1 419;35;14;72;162;1 703;575;497;151 095;282 586;174 474;228 958;621 126;51 302;61 676;47 069;102 849;12 294;64;41;340;250 731;234 531;69 115;592 102;93 086;775 368;1 275 462;403 762;3 744;7 146;4 753 677;2 960;42 734;39;2 592;578;6 075;85 007;6 672;47 697;355 437;1;458 361
Республика Башкортостан;11 890;753;0;330;0;111 370;450;25;16 602;10 203;3 042;1 809;1 740;188;217;246;131;13;92;6;17;7 816;2 324;4 883;17 584;1 698;10 319;7 015;19 021;892;265;84 884;197;61;3;3;9;19;55;67;25;30 169;37 449;22 196;27 408;81 167;6 067;8 111;6 326;11 204;2 685;4;2;44;39 031;40 532;9 224;75 628;12 248;120 234;153 441;60 586;684;1 027;648 911;348;1 099;4;99;60;729;760;710;5 473;50 254;0;38 115
Республика Марий-Эл;2 118;149;0;90;0;16 300;92;3;1 683;1 720;467;268;242;34;33;37;17;0;19;6;4;1 392;42;864;3 376;279;991;668;2 580;54;31;12 029;58;10;0;0;2;1;7;6;3;3 083;6 549;3 360;2 733;6 604;798;738;487;887;0;0;1;3;8 149;979;1 727;15 204;2 081;12 750;15 230;4 383;48;106;78 440;30;44;0;0;1;8;40;17;7;13 226;0;5 792
Республика Мордовия;2 507;28;0;119;0;21 475;30;28;3 165;1 967;533;254;262;36;16;30;12;0;26;7;6;2 034;185;1 077;3 930;368;1 487;1 430;3 566;78;38;16 776;24;1;0;0;0;1;4;0;10;3 944;5 622;3 002;3 865;11 991;1 017;523;959;1 340;0;0;1;5;6 905;2 926;2 125;17 682;2 914;20 023;32 837;12 051;62;110;113 662;26;44;0;0;0;44;3;1;145;2 354;0;28 560
Республика Татарстан;14 828;57;0;484;0;138 720;753;82;20 100;16 010;5 330;3 659;3 678;418;547;564;393;27;165;21;37;8 098;2 689;4 478;16 347;1 377;12 072;14 652;21 955;1 389;328;108 735;265;176;1;2;27;50;152;77;82;36 107;57 933;38 463;54 988;177 945;14 617;19 480;13 934;31 990;5 295;16;5;104;45 321;59 120;8 572;72 389;10 293;162 476;319 213;71 581;1 127;1 225;1 044 877;520;5 140;8;910;227;1 968;2 688;1 484;13 826;18 978;0;120 103
Удмуртская Республика;5 407;226;0;176;0;40 925;207;4;5 143;4 502;1 294;785;693;60;84;99;45;3;43;71;12;2 446;851;2 084;7 216;634;3 122;2 167;5 703;332;75;31 128;76;46;1;0;2;4;19;28;4;3 133;9 777;9 289;11 520;19 738;1 502;2 288;1 699;2 329;311;0;5;9;11 229;16 467;3 903;32 736;4 975;34 271;49 315;17 020;220;222;206 418;142;637;1;0;14;171;365;235;24;21 326;0;16 915
Чувашская Республика;4 105;108;0;121;0;27 103;168;5;2 977;3 265;919;474;436;45;59;60;40;1;36;4;3;2 425;127;1 301;5 456;397;1 685;1 672;4 617;105;61;20 911;86;41;2;0;2;4;21;11;5;2 932;8 036;6 815;7 487;21 259;1 585;1 931;1 472;3 819;256;2;1;3;6 911;1 558;2 540;24 680;3 046;21 188;39 406;7 928;60;180;145 872;127;873;2;0;13;79;44;58;156;3 346;0;8 827
Кировская область;4 203;289;0;113;0;41 440;109;8;3 547;3 619;673;529;296;42;41;61;25;2;92;9;3;1 892;413;2 074;6 357;518;2 260;1 494;8 702;275;60;23 913;79;11;0;0;0;4;6;6;8;4 853;11 070;4 266;6 324;10 222;771;1 089;1 266;1 299;160;3;1;6;10 376;8 027;4 092;29 079;4 364;30 317;34 269;22 858;231;230;157 085;130;149;0;0;0;150;5;16;1 116;40 286;0;7 019
