"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67"
"Республика Коми","2979","0","0","39","0","36639","646","48","2837","2866","656","504","323","11","43","5","2","1875","783","731","5218","871","2915","5004","7645","590","352","24631","330","88","0","0","1","3","42","69","11","3595","10035","5270","8084","16113","1493","5","3","7","8971","13759","1177","18195","7026","42190","141098","102","367","275529","53","961","0","0","10","90","323","851","1256","0","0","3344"
"Республика Крым","4928","0","0","3","0","50433","530","18","5530","6312","1538","933","679","44","79","11","20","3348","658","1784","7746","1164","1680","4886","6154","10","21","36368","90","105","9","0","12","44","38","110","12","2132","4925","7262","13677","23429","4257","4","2","23","8959","4090","2002","23372","5354","12404","68481","10","113","176116","78","1332","8","0","100","1677","902","3561","2453","0","0","178"
"Республика Марий Эл","2442","0","0","49","0","19717","100","3","1520","2205","644","478","275","20","15","3","9","1197","59","377","3054","359","790","1783","2619","55","45","12768","43","9","1","0","0","3","2","6","3","2938","8535","5118","7274","14571","2908","2","1","39","7375","1487","751","13772","2741","10474","52109","50","176","127187","51","132","6","0","0","159","2","122","131","0","0","9627"
"Республика Мордовия","2651","0","0","0","0","27895","73","0","2598","2826","779","570","256","17","18","3","11","1510","137","531","3843","489","1227","3823","3509","65","82","18601","25","6","0","1","1","2","0","0","0","3256","8868","6288","8621","13040","1874","2","2","40","8750","3151","1091","17568","3793","17090","109562","59","322","201123","55","373","0","572","14","255","0","0","0","0","0","0"
"Республика Саха (Якутия)","4309","0","0","275","0","48879","2591","150","1407","5436","836","572","748","14","72","9","9","2274","692","350","5430","896","3408","8155","11663","531","343","30296","620","187","1","1","2","0","162","402","37","904","8107","2236","7050","27044","1758","4","2","12","12544","8878","719","24964","7204","48598","237035","115","292","385321","277","575","2","11","6","0","2350","2607","1606","0","0","20800"
"Республика Северная Осетия - Алания","1593","0","1","0","1","12090","1","0","1484","1364","397","221","251","17","8","1","3","897","62","320","1482","202","401","1058","822","10","14","8151","1","0","0","0","0","0","0","0","0","790","2331","1639","1844","7864","1884","0","0","5","1569","482","256","2917","678","2421","14855","5","23","37653","1","0","0","0","0","0","0","0","0","0","Х","0"
"Республика Татарстан","24332","0","0","377","0","202105","978","116","19131","24259","9736","8176","4898","396","95","44","280","6042","2897","3897","21107","3321","7972","37754","29353","2554","790","149604","339","310","0","1","17","65","18","28","58","35194","93482","76504","123159","269209","65039","9","11","1058","35751","71201","7437","93585","24287","110257","1103261","1864","3041","2044407","720","7488","0","320","159","3413","147","587","15028","0","0","25674"
"Республика Тыва","889","0","0","2","0","8086","98","12","770","1147","114","58","73","2","19","1","0","789","87","82","858","132","365","782","1301","32","59","5277","43","14","0","0","0","0","4","5","1","458","1854","551","567","2388","225","1","0","0","2572","965","120","2603","711","4108","20370","18","187","37345","34","193","0","0","0","0","27","67","6","0","0","4"
"Удмуртская Республика","6907","0","0","143","0","54499","320","6","5011","6936","2138","1700","837","36","51","20","48","1797","755","1137","7273","971","2369","6199","7544","363","246","37242","104","89","2","0","5","5","11","2","5","5187","21398","16725","24958","40200","5434","3","4","122","8426","15009","2139","33026","7268","32533","176471","278","1079","383469","238","1276","3","0","50","331","17","38","353","0","0","4576"
"Республика Хакасия","1611","0","0","25","0","15396","155","6","1719","2107","498","299","234","11","29","7","4","749","71","232","1809","269","554","1542","2811","62","133","10123","64","25","0","0","2","1","5","11","6","765","3575","2301","3089","8262","1347","3","2","9","2081","720","285","5329","1410","5313","45961","35","441","79105","55","349","0","0","18","28","5","158","107","0","0","2434"
"Чеченская Республика","1944","0","0","0","0","21140","21","6","2287","2231","409","503","425","36","5","3","14","1708","73","244","1763","219","659","2883","2552","0","14","13426","6","6","0","0","0","3","0","0","6","1162","2763","1435","5280","16333","4308","0","1","36","3462","428","185","3487","742","4237","38045","0","23","77595","10","85","0","0","0","105","0","0","270","0","0","0"
"Чувашская Республика","4578","0","0","121","0","31338","186","3","2412","3803","1400","1025","490","21","19","4","10","1698","110","636","5084","737","975","2902","4434","96","108","21304","87","43","3","0","4","4","2","2","3","2933","11906","11001","15343","25125","3348","1","2","25","5603","1566","1273","23090","5597","13474","81594","74","369","198533","151","762","3","0","27","85","1","1","14","0","0","3683"
"Алтайский край","8813","0","0","0","0","87991","320","21","6683","8542","2430","2095","1453","111","86","13","28","4595","481","2421","12760","1693","3166","7800","11666","271","510","54244","132","41","0","0","1","6","28","3","16","5012","19288","9867","25922","66028","16501","5","2","83","26045","12043","4793","60217","12997","42995","223888","255","2094","509186","135","708","0","0","9","236","31","48","1258","0","0","0"
"Краснодарский край","21284","0","1","78","0","221327","1726","110","21213","29666","9263","6967","4436","384","277","49","174","9812","2018","5764","28114","4448","6895","26368","27626","64","132","154765","421","245","9","13","23","104","124","224","93","18968","79668","70909","100312","245881","64714","25","10","650","29940","24744","6684","96144","33499","86240","693482","59","583","1483996","512","14772","31","7815","83","1897","6229","41842","15389","0","Х","106"
"Красноярский край","10115","0","0","2348","0","130217","3258","175","4330","9228","3853","3144","2603","135","79","25","72","3545","2175","1463","13628","2598","5174","19011","23061","531","735","70927","517","303","2","0","13","22","383","407","87","1595","15183","17888","31976","93478","16596","2","3","70","10978","23551","1748","40914","13033","63195","536036","114","3049","849649","284","6737","7","0","53","293","10350","12838","12942","0","0","90399"
"Приморский край","6778","0","0","0","0","63495","2120","50","2503","6988","2196","1486","1656","97","41","9","22","2667","1383","962","7308","1808","2329","10439","12475","189","140","41796","342","246","16","6","1","23","109","213","35","1147","9353","9546","14613","68936","17305","2","2","65","3982","8871","882","19907","10629","15996","240160","105","342","404090","496","14766","100","1480","8","617","11380","48991","3921","0","0","0"
