GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69
    Орловская область;2891;816;0;0;29250;20;8;3620;3016;715;461;234;155;105;4;26;2;5;1120;24;843;3859;468;975;2365;3441;13;22;17733;6;1;0;0;0;1;0;0;5;3608;10754;5615;7610;13011;2382;5447;748;2;1;6;4847;558;1611;15634;3202;11646;49052;11;70;127161;5;0;0;0;0;27;0;0;46;28032;0
    Рязанская область;4794;231;0;0;44302;164;12;3868;4393;1351;979;534;351;179;32;42;7;8;1848;232;1101;6458;811;1456;3308;5332;124;68;26393;83;28;0;0;2;2;19;0;11;2949;9543;9590;16097;31685;5094;9356;5542;2;1;26;6545;3193;2086;23804;5072;18957;92064;109;267;221614;167;993;0;0;41;150;26;0;837;26577;0
    Смоленская область;5057;41;0;0;43502;189;6;4052;4810;1337;864;597;334;212;15;45;8;13;1525;261;977;6044;892;1144;13523;4493;142;84;35780;114;19;1;0;4;2;11;1;6;3007;10271;7970;13260;32037;4565;10659;2042;2;2;34;6669;3629;1545;20904;5021;11414;248240;116;330;366975;276;878;0;0;63;188;22;2;205;1723;0
    Тамбовская область;3295;10;0;0;41433;33;7;4259;3803;944;609;357;203;112;18;27;6;7;1691;156;1222;6066;621;2199;3390;4461;24;43;25357;20;6;0;0;2;2;0;0;7;6394;12608;7336;10172;20872;3526;6534;3322;3;3;26;9683;4072;2491;28502;4805;30425;90663;22;171;228059;36;160;0;0;24;134;0;0;139;56;0
    Тверская область;4635;936;0;0;45062;515;101;3031;4222;1399;885;511;340;161;17;96;20;47;1428;728;1219;6923;958;1500;3507;7120;432;171;26275;200;76;0;0;23;9;50;9;81;2251;9698;6404;14259;27480;4876;8195;2634;2;2;32;8317;16575;2482;31704;7253;20758;95203;372;646;242078;74;1603;0;0;230;331;61;2;7624;18356;0
    Тульская область;4639;381;0;0;44405;119;4;3400;4623;1682;1099;648;417;212;19;62;4;19;1588;455;1194;6551;850;1677;3554;6765;78;104;27399;34;6;0;0;1;0;27;1;4;2965;14524;12841;18148;34188;6717;10425;3495;5;2;46;7218;8514;2469;30393;6447;23811;97581;75;453;259152;61;92;0;0;9;0;35;1;64;22155;0
    Ярославская область;5744;179;0;0;44312;356;3;3937;5748;1806;1186;720;466;277;32;43;7;8;1793;757;1112;7353;903;1449;3397;6410;363;128;30226;132;67;2;0;3;5;18;75;3;4264;17355;12595;18483;41056;6632;14721;5129;3;2;23;8717;11262;2193;31397;6148;18826;80843;304;500;253211;263;2866;2;0;45;295;98;48;2159;9807;0
    город Москва;77569;212;1;0;718288;1933;811;57984;196510;60710;36675;33771;16110;12536;2019;240;127;1160;14481;4099;17039;90304;17236;12894;70722;62335;373;537;613819;608;554;35;4;33;71;147;201;516;52322;571637;428262;575755;1939736;255773;639491;342890;20;42;4709;37061;48928;18715;242877;88584;146503;1532296;277;2265;5655369;2557;34067;134;386;509;6068;6212;10777;348766;135469;241
    Республика Карелия;2821;0;0;0;22594;834;9;2067;2421;716;479;185;205;99;7;16;3;6;789;146;581;3726;462;703;2310;4519;355;247;14592;454;91;4;2;1;1;74;62;9;1509;9331;5428;7947;10529;2725;4790;1014;1;1;19;4570;3612;1125;16622;3389;9805;66969;326;719;140865;263;4406;17;270;2;38;388;2234;3450;0;0
    Республика Коми;3201;40;0;0;37107;803;43;2850;2942;604;459;357;92;61;8;46;9;6;2165;785;983;5074;887;3562;4643;7155;607;293;25375;387;151;0;0;1;3;114;33;12;3430;10049;4584;7629;18878;1577;4114;1636;5;5;18;10232;15154;1568;17400;7107;51744;128549;103;516;275829;122;1829;0;0;10;90;1131;240;1395;2816;0
    Архангельская область;3674;7;0;0;35072;1768;19;2373;3431;850;575;282;251;85;5;51;11;26;1998;241;874;5984;679;1252;3772;6812;463;254;22400;343;212;20;0;2;2;382;295;3;2460;9273;6615;9112;14541;3610;4467;988;4;4;84;8446;3698;1715;27220;4990;17591;110664;304;689;216414;321;4899;28;0;32;81;14376;10493;658;35;0
    Вологодская область;5472;121;0;0;48944;407;29;3531;5173;1552;1087;505;527;191;16;103;10;7;1577;703;1045;7247;933;1849;4667;8705;527;200;29988;219;65;4;1;3;12;9;4;5;3788;19083;11534;17675;26283;8434;10260;2523;11;3;18;7219;9700;2061;32454;6813;25430;127002;447;830;289098;108;1396;6;30;22;419;32;36;1723;16683;0
    Калининградская область;6623;10;0;0;40015;680;32;2760;4323;1500;1261;701;365;306;38;10;5;27;1438;727;1545;4560;819;867;8885;5298;5;10;29426;195;79;17;1;4;4;15;28;8;531;7021;8101;18428;40255;4349;14828;5472;1;1;51;4214;18682;2939;20670;6206;12020;284872;5;43;423992;471;2214;60;1157;43;165;1114;8283;949;3102;0
    Ленинградская область;5350;594;0;0;56793;530;4;4525;7334;1996;1616;1017;580;386;58;34;11;54;2113;644;1083;7773;1143;1839;6709;11237;200;181;37891;180;101;2;0;1;4;70;1;4;6216;27537;15340;27153;57879;9259;19457;9081;5;7;220;13860;13960;2104;35023;8813;25991;156822;187;683;390929;329;5865;14;0;15;242;94;29;265;24164;0
    Мурманская область;2309;11;1;0;25410;1060;5;2014;3188;660;461;605;330;218;9;35;5;8;1235;581;337;2823;501;1072;4501;4014;299;448;18025;343;165;2;1;1;3;46;97;5;1517;5346;2564;3950;11115;2045;3927;974;2;1;16;3766;4157;325;6181;1806;5671;32099;102;826;78514;62;961;4;30;6;61;14406;6649;1044;2737;4
    Новгородская область;2609;27;0;0;23613;254;5;2535;2680;664;411;216;147;81;8;27;4;14;976;349;700;4109;627;813;2448;3892;129;79;16573;143;24;2;0;1;2;4;7;5;2921;7980;4990;6519;10571;2204;3438;1115;3;2;48;5395;7771;1428;19052;4788;11324;71645;112;287;154439;210;748;25;0;18;120;6;106;59;367;0
