GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67
Тамбовская область;3 200;0;0;10;0;40 480;33;7;4 075;3 879;907;603;355;19;27;9;4;1 614;150;1 135;5 934;625;2 016;3 562;4 776;27;56;24 895;20;8;0;0;2;1;0;0;7;6 121;13 011;7 171;9 775;18 767;3 747;3;6;17;9 327;3 834;2 316;27 935;4 975;28 158;95 091;25;244;226 508;36;165;0;0;24;89;0;0;139;0;0;52
Тверская область;4 576;0;0;888;0;44 471;516;107;2 936;4 177;1 358;804;487;16;107;19;42;1 399;726;1 126;6 831;991;1 423;3 672;7 220;468;207;26 093;203;75;4;0;12;8;38;30;86;2 177;9 808;6 489;12 871;23 881;2 636;3;6;30;8 324;17 088;2 267;31 239;7 611;19 820;104 340;382;761;245 951;72;1 640;3;0;106;293;10;28;7 485;0;0;17 469
Томская область;3 838;0;0;6;0;40 272;734;24;3 457;5 710;1 229;784;669;19;24;2;22;2 240;564;811;5 560;681;2 934;4 414;6 466;498;398;29 101;274;59;0;1;4;9;83;27;19;2 144;8 885;5 624;8 099;25 129;2 942;1;0;21;7 726;5 734;1 332;19 537;4 287;35 182;102 235;258;1 209;225 935;235;697;0;45;20;300;160;350;4 265;0;0;57
Тульская область;4 682;0;0;394;0;45 763;118;4;3 316;4 786;1 797;1 087;665;17;58;4;21;1 742;424;1 089;6 719;980;1 618;4 095;7 105;73;137;28 400;36;5;0;0;1;0;26;0;4;2 880;15 602;14 061;16 919;31 182;2 527;5;2;54;7 745;5 032;2 241;31 168;7 367;22 527;112 047;68;547;268 832;68;174;0;0;9;0;34;0;64;0;0;25 947
Тюменская область;6 454;0;0;1 146;0;75 874;803;71;3 422;5 437;2 149;1 652;1 578;80;44;39;109;1 711;807;1 112;8 120;1 326;3 191;8 398;12 851;823;323;39 126;259;74;0;0;6;6;70;16;48;2 453;18 137;12 788;18 843;56 109;9 962;2;12;248;6 175;7 653;2 233;36 501;10 186;44 797;224 234;411;725;440 371;297;752;0;0;43;178;87;190;10 705;0;0;103 348
Ульяновская область;4 312;0;0;80;0;33 837;157;282;3 171;4 445;1 047;707;472;21;18;5;5;2 182;113;853;5 467;562;1 187;3 673;4 163;86;111;23 907;74;34;5;0;1;3;3;0;269;2 881;15 274;7 468;10 150;20 568;3 209;1;6;13;7 261;1 403;1 714;24 998;3 788;16 324;98 899;59;332;210 746;72;939;3;0;3;76;16;0;12 686;0;0;4 426
Челябинская область;13 712;0;0;78;0;101 989;709;5;9 620;12 748;4 505;3 770;2 061;81;86;20;85;4 096;924;2 881;14 615;2 052;4 414;10 981;14 641;290;344;73 331;191;33;5;0;10;25;230;19;5;3 636;18 731;30 966;58 367;102 877;13 807;3;3;201;23 756;22 106;5 818;66 978;15 937;59 916;310 349;251;1 383;721 240;226;691;5;0;99;817;178;55;766;0;0;15 515
Ярославская область;5 617;0;0;174;0;42 175;294;1;3 610;5 540;1 722;1 133;693;31;42;7;14;1 598;651;999;7 291;889;1 360;3 466;6 367;351;169;29 016;116;63;2;1;3;5;8;44;1;4 147;17 516;12 452;16 911;36 809;6 421;3;2;30;8 371;10 552;2 045;32 039;6 394;17 956;86 206;299;609;251 439;254;2 445;1;162;45;273;67;22;28;0;0;10 644
Г.Москва;76 286;0;1;353;0;761 936;2 691;1 595;59 798;210 214;57 938;35 249;32 752;2 761;242;119;1 183;14 012;4 821;16 050;95 442;19 357;12 724;78 851;74 739;453;731;642 939;637;614;41;11;31;97;241;347;1 249;55 361;643 641;446 979;518 780;1 839 389;483 421;20;44;4 875;38 628;70 154;17 768;269 257;107 944;145 303;1 698 728;316;3 156;5 805 301;2 712;38 358;209;3 793;600;9 112;11 383;26 125;443 340;0;322;130 479
Г.Санкт-Петербург;35 473;0;2;38;0;253 759;3 863;227;16 910;49 412;17 981;14 471;9 622;703;74;47;416;8 059;7 415;5 775;33 082;5 741;6 453;32 948;30 872;276;434;208 410;670;519;38;16;10;36;706;602;218;29 942;188 012;141 430;226 222;544 678;125 485;8;25;1 541;50 661;122 153;11 514;151 747;42 882;76 450;767 215;251;1 798;2 354 492;1 261;32 796;72;14 930;212;3 749;40 947;131 861;51 462;0;272;10 799
Г.Севастополь;1 168;0;0;0;0;7 117;286;0;706;1 144;294;138;109;4;13;4;4;549;230;233;1 085;214;271;786;973;5;2;5 780;49;42;5;0;1;14;65;53;0;268;888;1 154;2 099;3 459;278;0;0;3;660;994;224;2 582;838;1 769;10 356;4;7;25 294;40;1 126;1;0;3;286;1 409;5 729;0;0;0;0
Еврейская автономная область;410;0;0;9;0;4 623;36;1;285;504;106;53;41;0;8;1;1;262;32;82;594;91;159;333;1 164;3;17;2 552;14;2;0;0;0;0;3;0;1;184;894;648;671;1 326;0;0;0;3;1 475;722;111;2 033;720;2 223;9 382;2;135;20 393;12;22;0;0;0;0;3;0;23;0;0;76
